Processes: 288 total, 6 running, 1 stuck, 281 sleeping, 976 threads 
2000/12/31 19:35:48
Load Avg: 1.60, 2.65, 12.80 
CPU usage: 25.0% user, 43.96% sys, 31.3% idle 
SharedLibs: 413M resident, 66M data, 172M linkedit.
MemRegions: 37933 total, 1516M resident, 282M private, 377M shared.
PhysMem: 6083M used (1950M wired), 10G unused.
VM: 1277G vsize, 1373M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS PGRP PPID STATE    BOOSTS   %CPU_ME %CPU_OTHRS UID FAULTS COW  MSGSENT MSGRECV SYSBSD  SYSMACH CSW     PAGEINS IDLEW POWER INSTRS CYCLES USER               #MREGS RPRVT  VPRVT  VSIZE  KPRVT  KSHRD 
544   ocspd            0.0  00:01.33 3     1   46     3820K  0B     0B    544  1    sleeping *0[1]    0.00000 0.00000    0   4110   328  1564    656     21272   5316    9817    0       0     0.0   0      0      root               83     2708K  54972K 4233M  360K   81008B
543   PrintUITool      0.0  00:00.15 2     1   42     4140K  0B     0B    543  1    sleeping *0[1]    0.00000 0.00000    501 5530   332  184     62      1760    486     232     41      0     0.0   0      0      ryangosdin         83     3068K  56292K 4210M  380K   0B    
532   com.apple.prefer 0.0  00:03.37 3     1   289    29804K 776K   0B    532  1    sleeping  0[967]  0.00000 0.00000    501 24300  762  16618   6068    27701   28552   14484   174     0     0.0   0      0      ryangosdin         430    20508K 211M   4826M  648K   -5476B
531   ReportCrash      0.0  00:10.57 4     1   77     17352K 4096B  0B    531  1    sleeping  0[0]    0.00000 0.00000    501 225791 341  8412    3841    28985   16063   11420   37387   0     0.0   0      0      ryangosdin         110    16144K 80728K 4261M  2536K  0B    
526   TextEdit         0.0  00:01.10 3     1   235    19540K 272K   0B    526  1    sleeping  0[75]   0.00000 0.00000    501 14822  594  8594    2494    10020   15272   7556    137     0     0.0   0      0      ryangosdin         325    11596K 207M   4866M  668K   155K  
518   com.apple.MediaL 0.0  00:00.51 2     1   99     11420K 0B     0B    518  1    sleeping *0[17]   0.00000 0.00000    501 10982  1194 871     566     6398    2168    1807    719     0     0.0   0      0      ryangosdin         216    8204K  61464K 4295M  484K   -254K 
516   system_installd  0.0  00:00.07 2     1   38     1968K  0B     0B    516  1    sleeping *0[2]    0.00000 0.00000    0   3247   297  149     59      1471    388     310     16      0     0.0   0      0      root               75     944K   54308K 4232M  376K   0B    
515   sysdiagnose      0.0  00:07.10 12    9   385    12088K 0B     0B    515  1    sleeping *0[1]    0.00000 0.00000    0   13624  480  6470    2289    115794  12429   18667   193     0     0.0   0      0      root               114    10996K 66744K 4248M  460K   -368K 
514   installd         0.0  00:00.07 2     1   38     1864K  0B     0B    514  1    sleeping *0[2]    0.00000 0.00000    0   3115   295  130     54      1303    371     194     9       0     0.0   0      0      root               74     852K   54308K 4207M  380K   0B    
510   assertiond       0.0  00:00.05 2     1   46     2052K  0B     0B    510  1    sleeping *0[3]    0.00000 0.00000    501 2368   283  202     73      1122    443     165     1       0     0.0   0      0      ryangosdin         68     1172K  53804K 4206M  344K   0B    
