Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   79    0 0xffffff7f8301b000 0x5000     0x5000     com.apple.driver.AppleThunderboltPCIDownAdapter (2.1.4) 38998B85-B650-3E1C-BE2E-FBBE670B0B7F <77 13 6 5 3 1>
   80    1 0xffffff7f826fc000 0xf000     0xf000     com.apple.driver.AppleThunderboltDPAdapterFamily (5.6.4) C6AEB6E6-AFFC-355F-8073-73E21E8BC49E <77 12 6 5 3 1>
   81    0 0xffffff7f8270b000 0x6000     0x6000     com.apple.driver.AppleThunderboltDPInAdapter (5.6.4) 985D4477-D5EB-35D5-BDA1-4D1127AD583D <80 77 6 5 3 1>
   82    0 0xffffff7f82d26000 0x28000    0x28000    com.apple.iokit.IOAHCIBlockStorage (301.260.1) 622C79DB-1698-3BD9-8F5E-6A1C1123905F <66 54 28 7 6 5 3 1>
   83    0 0xffffff7f82d19000 0xd000     0xd000     com.apple.iokit.IOAHCISerialATAPI (267.50.1) 7E53FF76-5512-3A29-B218-77506D25AFDD <66 29 6 5 3 1>
   84    3 0xffffff7f82ca8000 0xe000     0xe000     com.apple.iokit.IOCDStorageFamily (1.8) 16D8E660-6AEC-3852-80D1-BB8E60DA03DE <28 6 5 3 1>
   85    2 0xffffff7f82cb9000 0xb000     0xb000     com.apple.iokit.IODVDStorageFamily (1.8) 6BCD1C75-9D24-367D-AADC-4A3C91FF6522 <84 28 6 5 3 1>
   86    1 0xffffff7f82cc7000 0x9000     0x9000     com.apple.iokit.IOBDStorageFamily (1.8) 396D3657-07BD-36C0-83BB-65829237A885 <85 84 28 6 5 3 1>
   87    0 0xffffff7f82cd3000 0x1a000    0x1a000    com.apple.iokit.IOSCSIMultimediaCommandsDevice (408.250.3) 4B13F18D-F1EB-33EA-A791-738E1B9BD028 <86 85 84 29 28 7 6 5 3 1>
   88    0 0xffffff7f82cf1000 0x7000     0x7000     com.apple.iokit.SCSITaskUserClient (408.250.3) 42741368-0B7A-329F-BA14-DEA85641876D <29 28 6 5 3 1>
   89    0 0xffffff7f811e6000 0x8000     0x8000     com.apple.AppleSystemPolicy (1.0) 3D3578B2-6E91-390F-BE20-781477519F25 <41 40 32 8 7 6 5 3 2 1>
   90    1 0xffffff7f81423000 0x8000     0x8000     com.apple.filesystems.hfs.encodings.kext (1) BB5E5019-848D-3B57-BF1A-71DB73178A6B <8 7 6 5 3 1>
   91    0 0xffffff7f814b9000 0xd000     0xd000     com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) 8C036AB1-8BF0-32BE-9B7F-75AD4C571D34 <7 5 3 2 1>
   92    0 0xffffff7f825b4000 0x10000    0x10000    com.apple.BootCache (40) 0CD83700-BA03-33BE-9363-C27C78502585 <8 7 6 5 3 1>
   93    0 0xffffff7f82fd0000 0x3000     0x3000     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) 38BD7794-FDCB-3372-8727-B1209351EF47 <8 7 5 3 2 1>
   94    0 0xffffff7f833fc000 0x68000    0x68000    com.apple.filesystems.hfs.kext (407.200.4) 0E7291EA-AAA2-37B3-B9F8-B27E9EA79ED5 <90 8 7 6 5 3 1>
   95    2 0xffffff7f8334f000 0xe000     0xe000     com.apple.iokit.IOSerialFamily (11) 065F0B80-DEF3-39BD-947B-294E6FE4A2B9 <8 7 6 5 3 1>
   96    0 0xffffff7f8367c000 0x13000    0x13000    com.apple.driver.AppleVirtIO (2.1.3) 86780D4E-0EA0-3A93-8593-F3A01FEF863E <95 28 13 6 5 3 1>
   99    1 0xffffff7f81873000 0x101000   0x101000   com.apple.filesystems.apfs (945.260.7) A1CC6E08-1D1E-3272-AE7B-28D67D177714 <35 28 9 8 7 6 5 3 1>
  100    0 0xffffff7f81659000 0x35000    0x35000    com.apple.driver.usb.AppleUSBHub (1.2) 9A728E2E-1B1A-36FC-B841-DD6DFF74D26C <24 23 12 6 5 3 1>
  101    3 0xffffff7f81341000 0x8000     0x8000     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) 2F9B9B88-2C37-3F44-83F8-FE7B34FEB427 <24 23 7 6 5 3 1>
  102    1 0xffffff7f814e5000 0x8000     0x8000     com.apple.driver.usb.networking (5.0.0) 5896522A-82EB-3BA5-A340-C57E10C3AD3B <24 7 6 5 3 1>
  104    2 0xffffff7f82329000 0xd0000    0xd0000    com.apple.vecLib.kext (1.2.0) 97C0B7EC-7C2B-3BA9-A4D6-BD6F6A9D4AEB <10 7 6 5 3>
  105    5 0xffffff7f823f9000 0x3f000    0x3f000    com.apple.iokit.IOAudioFamily (206.5) 9995092B-6732-395B-8EEC-3FACEEFB71D8 <104 6 5 3 1>
  106    5 0xffffff7f81349000 0xc000     0xc000     com.apple.driver.usb.IOUSBHostHIDDevice (1.2) 93950924-A8F5-3708-8419-78F128FCA1A4 <46 24 23 6 5 3 1>
  108    0 0xffffff7f83779000 0x7000     0x7000     com.apple.driver.AppleIRController (354) B96990C5-A1C3-3EDD-8FA5-0F35F2D4756E <106 101 46 24 6 5 3>
  109    0 0xffffff7f82d57000 0x3000     0x3000     com.apple.driver.AppleUSBTCKeyboard (255) 1C738429-7EC0-33CD-B216-DE9152DCD14C <106 46 24 19 8 7 6 5 3 1>
  110    0 0xffffff7f82d52000 0x3000     0x3000     com.apple.driver.AppleUSBTCButtons (255) 00D4AB13-8DB3-38B1-9CDA-455FD5FDF429 <106 46 24 19 8 7 6 5 3 1>
  111    0 0xffffff7f82f73000 0x13000    0x13000    com.apple.driver.AppleUSBMultitouch (263) 326CD6E4-E14D-3FF4-B807-BD022AAC2754 <106 46 24 7 6 5 3 1>
  114    3 0xffffff7f82e44000 0xf9000    0xf9000    com.apple.iokit.IOBluetoothFamily (6.0.12f1) 9A07BB23-7147-3B6B-A5C0-784BDC83D48D <24 19 12 8 7 6 5 3 1>
  115    2 0xffffff7f832a6000 0xb000     0xb000     com.apple.iokit.IOBluetoothHostControllerTransport (6.0.12f1) 0EE0A12D-FE6B-3E79-BCC1-6222E1521612 <114 24 13 12 8 7 6 5 3 1>
  116    1 0xffffff7f83368000 0x20000    0x20000    com.apple.iokit.IOBluetoothHostControllerUSBTransport (6.0.12f1) E750CBA4-07E3-3BA1-AD3C-42E310A317C8 <115 114 24 13 12 8 7 6 5 3 1>
  117    0 0xffffff7f83388000 0xc000     0xc000     com.apple.iokit.BroadcomBluetoothHostControllerUSBTransport (6.0.12f1) E24C7331-DEC1-3598-A142-DC4E992CE285 <116 115 114 24 13 12 8 7 6 5 3>
  118   15 0xffffff7f81431000 0x49000    0x49000    com.apple.iokit.IOGraphicsFamily (519.15) D5F2A20D-CAB0-33B2-91B9-E8755DFC34CB <13 8 6 5 3 1>
  119    0 0xffffff7f8363d000 0x2d000    0x2d000    com.apple.driver.AppleIntelSNBGraphicsFB (10.0.4) 628D2F1C-66EC-340F-AB0A-576401250CCC <118 13 12 8 7 6 5 3 1>
  120    2 0xffffff7f82794000 0xe000     0xe000     com.apple.driver.AppleSMBusController (1.0.18d1) A7F08D9F-5351-337F-866C-461C7B1CC89F <47 13 12 6 5 3>
  121    0 0xffffff7f833a8000 0xf000     0xf000     com.apple.driver.AppleMCCSControl (1.5.6) 2A77F45F-2682-337F-88D0-AECA120C5832 <120 118 14 13 12 8 6 5 3 1>
  122    4 0xffffff7f817d8000 0x10000    0x10000    com.apple.iokit.IONDRVSupport (519.15) B419F958-11B8-3F7D-A31B-A72166B6E234 <118 13 8 6 5 3>
  123    1 0xffffff7f817e8000 0x6000     0x6000     com.apple.driver.AppleBacklightExpert (1.1.0) D4FB163B-40F2-340B-B132-869F5D32DFB6 <122 118 14 13 6 5 3>
  124    0 0xffffff7f8357a000 0x5000     0x5000     com.apple.driver.AppleBacklight (170.12.11) C83217FD-40B9-38C5-B6B0-3EC0DEB282B0 <123 122 118 13 6 5 3>
  125    0 0xffffff7f83786000 0x5000     0x5000     com.apple.driver.AppleSMCLMU (212) 9F4D40B1-143A-329D-A52C-50DC471DA785 <118 14 6 5 3>
  126    0 0xffffff7f8271e000 0x6000     0x6000     com.apple.driver.SMCMotionSensor (3.0.4d1) 3B49B30F-AC1D-3428-866B-B22ED2F27161 <14 6 5 3>
  127    0 0xffffff7f82fe1000 0x3000     0x3000     com.apple.driver.AppleSMBusPCI (1.0.14d1) 4EFB3126-1783-3910-A2A9-22CD590EC7FC <13 6 5 3>
  128    1 0xffffff7f817c1000 0x3000     0x3000     com.apple.driver.AppleGraphicsControl (3.28.4) 200F1816-A734-3977-B7AE-7A6B2363059F <8 6 5 3 1>
  129    3 0xffffff7f817b2000 0x9000     0x9000     com.apple.AppleGraphicsDeviceControl (3.28.4) 400C2E21-0880-36D7-AC5E-6B9BC885F158 <118 13 8 7 6 5 3 1>
  133    5 0xffffff7f82c5b000 0xa000     0xa000     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) ABA6A163-63E7-3690-B0D2-BD65D4C0028A <12 8 7 6 5 3>
  134    1 0xffffff7f82c6a000 0x12000    0x12000    com.apple.driver.IOPlatformPluginLegacy (1.0.0) CDC53C63-8CCA-3518-9C06-645532957717 <133 12 8 7 6 5 3>
  135    0 0xffffff7f82c7e000 0x10000    0x10000    com.apple.driver.ACPI_SMC_PlatformPlugin (1.0.0) 8EA64056-0E2E-3752-9B92-E7A5055B8FD4 <134 133 14 13 12 8 7 6 5 3>
  137    0 0xffffff7f82c95000 0x3000     0x3000     com.apple.driver.AppleSMCPDRC (1.0.0) 6C636F4A-95D8-376B-AEBF-409F5F03A8AD <133 13 7 5 3>
  138    1 0xffffff7f81487000 0x5000     0x5000     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) 412EB3B0-32AB-3959-9B16-A32C4C29A398 <8 7 6 5 3 1>
  139    0 0xffffff7f832a2000 0x2000     0x2000     com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) D2EE16F6-1502-349E-9464-663DB945B2B2 <138 5 3>
  140    0 0xffffff7f82c65000 0x3000     0x3000     com.apple.driver.AppleLPC (3.1) 92CD83D8-80DC-334D-BCA9-7B44F626F3F6 <133 13 6 5 3>
  141    0 0xffffff7f830f5000 0xe000     0xe000     com.apple.iokit.IOFireWireIP (2.3.0) AE86CB6B-D30C-372F-9B30-3B044A182F2C <64 17 6 5 3 1>
  142    2 0xffffff7f8275e000 0xc000     0xc000     com.apple.iokit.IOHDAFamily (281.52) 3D7ADFBB-A913-31F3-A713-32A20B7B2249 <6 5 3 1>
  143    1 0xffffff7f8276d000 0x1d000    0x1d000    com.apple.driver.AppleHDAController (281.52) 0CEE0F18-1D22-3D90-9FD5-ECCD63F81428 <142 118 105 13 8 7 6 5 3 1>
  144    0 0xffffff7f82c3b000 0x16000    0x16000    com.apple.driver.AppleThunderboltIP (3.1.2) B9D6254B-52AE-31B7-BFCE-803ADD8A5F20 <77 17 13 6 5 3 1>
  145    0 0xffffff7f817f5000 0xd000     0xd000     com.apple.AppleGPUWrangler (3.28.4) D61F64EE-E8D7-3E54-BEF9-4555C7A2F241 <129 118 13 8 7 6 5 3 1>
  146    0 0xffffff7f8142b000 0x3000     0x3000     com.apple.driver.eficheck (1) 9DC378A5-D06F-3C6A-95AF-981EACA16AD0 <53 13 5 3 1>
  148    0 0xffffff7f83213000 0x4000     0x4000     com.apple.driver.AppleOSXWatchdog (1) 8C967862-AED7-320B-9ACE-27EDF5A6C500 <13 8 7 6 5 3 1>
  149    0 0xffffff7f81523000 0x61000    0x61000    com.apple.driver.AppleIntelHD3000Graphics (10.0.4) 3A47B78B-AF9B-30A4-A5AD-C0B4318C9665 <118 13 8 6 5 3 1>
  150    0 0xffffff7f8347d000 0x5000     0x5000     com.apple.Dont_Steal_Mac_OS_X (7.0.0) 770F366C-A027-39FD-A618-BFAF66C67202 <14 9 8 5 3 1>
  151    0 0xffffff7f833c2000 0x15000    0x15000    com.apple.driver.pmtelemetry (1) 73B3EA02-8EFD-3197-9007-7396AEA20D5F <8 7 6 5 3 1>
  152    0 0xffffff7f827a5000 0x16000    0x16000    com.apple.driver.AppleMikeyDriver (281.52) 41B96B67-2A43-3DAC-84AA-4B97417F6965 <120 12 6 5 3 1>
  153    1 0xffffff7f827c9000 0x13000    0x13000    com.apple.kext.OSvKernDSPLib (528) FAF1FA70-450F-3F87-BB36-7C583BB7D0C3 <6 5>
  154    1 0xffffff7f827dc000 0x143000   0x143000   com.apple.driver.DspFuncLib (281.52) 2239A97C-1C33-37BB-A79B-156177CB886C <153 105 104 54 7 6 5 3 1>
  155    0 0xffffff7f8292a000 0xb7000    0xb7000    com.apple.driver.AppleHDA (281.52) 119A5EAE-5FD8-3CF3-A0CA-73EDDDC23DBE <154 143 142 122 118 105 7 6 5 3 1>
  156    0 0xffffff7f83398000 0xa000     0xa000     com.apple.iokit.IOBluetoothSerialManager (6.0.12f1) 3A4F2333-2B7D-3E65-B4AF-7C23CEA40B58 <95 8 6 5 3 1>
  157    0 0xffffff7f8327e000 0x22000    0x22000    com.apple.iokit.IOSurface (255.5.4) 029BB0E8-5E39-3E49-A97C-225D2B1A6467 <8 7 6 5 3 1>
  158    0 0xffffff7f81818000 0x6000     0x6000     com.apple.driver.ApplePolicyControl (3.28.4) F018D7F2-EAD0-308C-802C-BB26ACCD561D <128 118 13 12 8 6 5 3 1>
  159    0 0xffffff7f8310c000 0x5000     0x5000     com.apple.driver.AppleUpstreamUserClient (3.6.5) 1A05DD72-F3D2-3449-8BF0-3BA05584738B <118 13 12 8 6 5 3 1>
  161    0 0xffffff7f830df000 0xd000     0xd000     com.apple.driver.AppleSSE (1.0) 777058C3-A899-3FBD-87F3-F58F71281625 <25 21 20 8 6 5 3 1>
  162    0 0xffffff7f82fea000 0x6000     0x6000     com.apple.iokit.IOUserEthernet (1.0.1) BCB30783-6E4F-3479-A7C3-D6E43B558F2B <17 7 6 5 3 1>
  163    0 0xffffff7f82e10000 0x9000     0x9000     com.apple.driver.AppleHV (1) 87F7A75B-E3C2-349F-898A-EFF08D114AF6 <8 7 6 5 3 1>
  164    0 0xffffff7f83775000 0x2000     0x2000     com.apple.driver.AppleMikeyHIDDriver (131) 57C5AB1A-14C5-310C-8810-947565D92741 <46 8 5 3 1>
